# Resultados del experimento cliente-servidor - EJ 4B
Host: 192.168.56.10, Puerto: 8080

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| ------ | -------------- | ----------------- | ---------------- | --------- |
| CLIENTE:: | 10 | 0.755787 | 58195.358038 |  |
| CLIENTE:: | 10 | 0.188828 | 0.004053 |  |
| CLIENTE:: | 10 | 0.020027 | 0.000954 |  |
| CLIENTE:: | 10 | 0.013113 | 0.000954 |  |
| CLIENTE:: | 10 | 0.014067 | 0.001907 |  |
| CLIENTE:: | 10 | 0.016928 | 0.001192 |  |
| CLIENTE:: | 10 | 0.030041 | 0.001907 |  |
| CLIENTE:: | 10 | 0.030041 | 0.001907 |  |
| CLIENTE:: | 10 | 0.080824 | 0.003099 |  |
| CLIENTE:: | 10 | 0.049829 | 0.003099 |  |
| CLIENTE:: | 10 | 0.085115 | 0.002861 |  |
| CLIENTE:: | 10 | 0.046015 | 0.003099 |  |
| CLIENTE:: | 10 | 0.042200 | 0.001907 |  |
| CLIENTE:: | 10 | 0.030041 | 0.000954 |  |
| CLIENTE:: | 10 | 0.031948 | 0.001907 |  |
| CLIENTE:: | 10 | 0.076056 | 0.004053 |  |
| CLIENTE:: | 10 | 0.047207 | 0.002861 |  |
| CLIENTE:: | 10 | 0.061989 | 0.004053 |  |
| CLIENTE:: | 10 | 0.028133 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015974 | 0.001907 |  |
| CLIENTE:: | 10 | 0.020027 | 0.001192 |  |
| CLIENTE:: | 10 | 0.014067 | 0.000954 |  |
| CLIENTE:: | 10 | 0.019073 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015020 | 0.001907 |  |
| CLIENTE:: | 10 | 0.648975 | 0.010014 |  |
| CLIENTE:: | 10 | 0.042200 | 0.001907 |  |
| CLIENTE:: | 10 | 0.019073 | 0.000954 |  |
| CLIENTE:: | 10 | 0.056028 | 0.003099 |  |
| CLIENTE:: | 10 | 0.018120 | 0.001907 |  |
| CLIENTE:: | 10 | 0.014782 | 0.001192 |  |
| CLIENTE:: | 10 | 0.019073 | 0.000954 |  |
| CLIENTE:: | 10 | 0.014067 | 0.001907 |  |
| CLIENTE:: | 10 | 0.019073 | 0.001907 |  |
| CLIENTE:: | 10 | 0.017881 | 0.000954 |  |
| CLIENTE:: | 10 | 0.027180 | 0.002861 |  |
| CLIENTE:: | 10 | 0.036955 | 0.002861 |  |
| CLIENTE:: | 10 | 0.022888 | 0.003099 |  |
| CLIENTE:: | 10 | 0.027895 | 0.001907 |  |
| CLIENTE:: | 10 | 0.016928 | 0.000954 |  |
| CLIENTE:: | 10 | 0.017166 | 0.001907 |  |
| CLIENTE:: | 10 | 0.149012 | 0.004053 |  |
| CLIENTE:: | 10 | 0.026941 | 0.001907 |  |
| CLIENTE:: | 10 | 0.016928 | 0.001907 |  |
| CLIENTE:: | 10 | 0.018120 | 0.001907 |  |
| CLIENTE:: | 10 | 0.016928 | 0.000954 |  |
| CLIENTE:: | 10 | 0.018120 | 0.001907 |  |
| CLIENTE:: | 10 | 0.017166 | 0.000954 |  |
| CLIENTE:: | 10 | 0.022888 | 0.003099 |  |
| CLIENTE:: | 10 | 0.031948 | 0.001907 |  |
| CLIENTE:: | 10 | 0.030994 | 0.002861 |  |
| CLIENTE:: | 10 | 0.025988 | 0.001907 |  |
| CLIENTE:: | 10 | 0.021935 | 0.000954 |  |
| CLIENTE:: | 10 | 0.019073 | 0.003099 |  |
| CLIENTE:: | 10 | 0.025988 | 0.002146 |  |
| CLIENTE:: | 10 | 0.031948 | 0.003099 |  |
| CLIENTE:: | 10 | 0.038147 | 0.003815 |  |
| CLIENTE:: | 10 | 0.027895 | 0.002146 |  |
| CLIENTE:: | 10 | 0.024080 | 0.005960 |  |
| CLIENTE:: | 10 | 0.053167 | 0.002861 |  |
| CLIENTE:: | 10 | 0.030994 | 0.001907 |  |
| CLIENTE:: | 10 | 0.046015 | 0.002146 |  |
| CLIENTE:: | 10 | 0.019073 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015974 | 0.000954 |  |
| CLIENTE:: | 10 | 0.017881 | 0.003099 |  |
| CLIENTE:: | 10 | 0.025988 | 0.000954 |  |
| CLIENTE:: | 10 | 0.025034 | 0.002861 |  |
| CLIENTE:: | 10 | 0.021935 | 0.002146 |  |
| CLIENTE:: | 10 | 0.015974 | 0.001907 |  |
| CLIENTE:: | 10 | 0.020027 | 0.000954 |  |
| CLIENTE:: | 10 | 0.016928 | 0.002146 |  |
| CLIENTE:: | 10 | 0.015974 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015020 | 0.002146 |  |
| CLIENTE:: | 10 | 0.017881 | 0.001192 |  |
| CLIENTE:: | 10 | 0.027895 | 0.002146 |  |
| CLIENTE:: | 10 | 0.022173 | 0.002861 |  |
| CLIENTE:: | 10 | 0.026941 | 0.001907 |  |
| CLIENTE:: | 10 | 0.025988 | 0.001907 |  |
| CLIENTE:: | 10 | 0.025034 | 0.003099 |  |
| CLIENTE:: | 10 | 0.033140 | 0.002861 |  |
| CLIENTE:: | 10 | 0.072002 | 0.004053 |  |
| CLIENTE:: | 10 | 0.035048 | 0.003099 |  |
| CLIENTE:: | 10 | 0.020981 | 0.001907 |  |
| CLIENTE:: | 10 | 0.025988 | 0.001907 |  |
| CLIENTE:: | 10 | 0.017166 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015974 | 0.000954 |  |
| CLIENTE:: | 10 | 0.016928 | 0.002861 |  |
| CLIENTE:: | 10 | 0.025034 | 0.001907 |  |
| CLIENTE:: | 10 | 0.018120 | 0.000954 |  |
| CLIENTE:: | 10 | 0.026941 | 0.003099 |  |
| CLIENTE:: | 10 | 0.025988 | 0.003099 |  |
| CLIENTE:: | 10 | 0.025988 | 0.002146 |  |
| CLIENTE:: | 10 | 0.016928 | 0.000954 |  |
| CLIENTE:: | 10 | 0.016928 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015974 | 0.000954 |  |
| CLIENTE:: | 10 | 0.130177 | 0.003815 |  |
| CLIENTE:: | 10 | 0.035048 | 0.001907 |  |
| CLIENTE:: | 10 | 0.024080 | 0.001907 |  |
| CLIENTE:: | 10 | 0.020027 | 0.000954 |  |
| CLIENTE:: | 10 | 0.015974 | 0.000954 |  |
| CLIENTE:: | 10 | 0.019789 | 0.002146 |  |
| [PROMEDIO - FINAL] CLIENTE [cantidad_bytes, promedio write, promedio read]:: | 10 | 0.044549 | 581.955731 |

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| ------ | -------------- | ----------------- | ---------------- | --------- |
| CLIENTE:: | 100 | 1.062870 | 5.005121 | OK |
| CLIENTE:: | 100 | 0.113964 | 2.140999 | OK |
| CLIENTE:: | 100 | 0.072956 | 1.988888 | OK |
| CLIENTE:: | 100 | 0.095129 | 2.102852 | OK |
| CLIENTE:: | 100 | 0.113964 | 2.229929 | OK |
| CLIENTE:: | 100 | 0.084877 | 2.146006 | OK |
| CLIENTE:: | 100 | 0.068903 | 1.856089 | OK |
| CLIENTE:: | 100 | 0.091791 | 2.097130 | OK |
| CLIENTE:: | 100 | 0.071049 | 1.873970 | OK |
| CLIENTE:: | 100 | 0.082970 | 2.552032 | OK |
| CLIENTE:: | 100 | 0.072956 | 2.140999 | OK |
